n_vc,height,data_size,mechanism,onchain_memory (MBs),offchain memory (MBs),init cost (gas),update cost (gas)
512,10,2,bsl,64,0,29199,
1024,11,4,bsl,128,0,34139,
2048,12,8,bsl,256,0,43953,
4096,13,16,bsl,512,0,63625,102880
8192,14,32,bsl,1024,0,102968,140145
16384,15,64,bsl,2048,0,181691,214705
32768,16,128,bsl,4096,0,339090,363883
512,10,2,smt,64,16384,48493,
1024,11,4,smt,64,32768,48493,
2048,12,8,smt,64,65536,48493,
4096,13,16,smt,64,131072,48493,
8192,14,32,smt,64,262144,48493,294167
16384,15,64,smt,64,524288,48493,294167
32768,16,128,smt,64,1048576,48493,294167
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,Memory (Bytes),,Cost (kGas),
,,# VCs,,On-chain,Off-chain,Init,Update
,,8192,,64,262144,48493,294167
,,16384,SMT,64,524288,48493,294167
,,32768,,64,1048576,48493,294167
,,8192,,1024,0,102968,140145
,,16384,BSL,2048,0,181691,214705
,,32768,,4096,0,339090,363883
